2015|MT101|4|5|28D|3|M|N|N||A|1|20|21|seqa_f28a_f28d_total|||2|1|1|1|1|5
2015|MT101|4|5|50C|4|O|N|Y||A|1|20|21|seqa_f50a_1_f50c|||1|1|1|1|2|35
2015|MT101|4|5|5OL|4|O|N|Y||A|1|20|21|seqa_f50a_1_f50l|||1|1|1|1|2|35
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_partyidentifier_account|A||1|1|1|1|2|35
2015|MT101|4|5|50G|5|O|N|Y||A|1|20|21|seqa_f50a_2_f50g_account|A||1|1|1|1|2|35
2015|MT101|4|5|50H|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50h_account|A||1|1|1|1|2|35
2015|MT101|4|5|50G|5|O|N|Y||A|1|20|21|seqa_f50a_2_f50g_identifiercode|||2|2|2|1|1|11
2015|MT101|4|5|50H|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50h_nameandaddress_line|||2|2|5|1|1|35
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_partyidentifier_code|||2|1|1|2|1|4
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_partyidentifier_countrycode|||3|1|1|3|6|7
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_partyidentifier_identifier|||4|1|1|4|9|35
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_nameandaddress_line2to5_number|||5|2|5|1|1|1
2015|MT101|4|5|50F|5|O|Y|Y||A|1|20|21|seqa_f50a_2_f50f_nameandaddress_line2to5_details|||6|2|5|2|3|35
2015|MT101|4|5|52A|6|O|N|Y||A|1|20|21|seqa_f52a_f52a_partyidentifier|A||1|1|1|1|3,4|36,37
2015|MT101|4|5|52C|6|O|N|Y||A|1|20|21|seqa_f52a_f52c|||1|1|1|1|1|34
2015|MT101|4|5|52A|6|O|N|Y||A|1|20|21|seqa_f52a_f52a_identifiercode|||2|2|2|1|1|11
2015|MT101|4|5|51A|7|O|N|N||A|1|20|21|seqa_f51a_f51a_partyidentifier|A||1|1|1|1|3,4|36,37
2015|MT101|4|5|51A|7|O|N|N||A|1|20|21|seqa_f51a_f51a_identifiercode|||2|2|2|1|1|11
2015|MT101|4|5|30|8|M|N|N||A|1|20|21|seqa_f30a_f30|||1|1|1|1|1|6
2015|MT101|4|5|25|9|O|N|Y||A|1|20|21|seqa_f25a_f25|||1|1|1|1|1|35
2015|MT101|4|5|21|10|M|N|N||B|1|21||seqb_f21a_1_f21|||1|1|1|1|1|16
2015|MT101|4|5|21F|11|O|N|N||B|1|21||seqb_f21a_2_f21f|||1|1|1|1|1|16
2015|MT101|4|5|23E|12|O|N|N||B|1|21||seqb_f23a_f23e_instructioncode|||1|1|1|1|1|4
2015|MT101|4|5|23E|12|O|N|N||B|1|21||seqb_f23a_f23e_additionalinformation|||2|1|1|1|6|35
2015|MT101|4|5|32B|13|M|N|Y||B|1|21||seqb_f32a_f32b_currency|||1|1|1|1|1|3
